x [mm];y [mm];x-displacement [mm];y-displacement [mm];Transverse strain Exx - GL [S];Axial strain Eyy - GL [S];Shear strain Exy - GL [S];Maximum normal strain - GL [S];Minimum normal strain - GL [S];Affine transformation a [];Affine transformation b [];Affine transformation c [];Affine transformation d [];Confidence region [pixel];Correlation value [count];Enough pixels valid [];Number of iterations [];Vector status []
652.531;1618.06;0.170417;-0.619918;0.000759857;0.00258512;0.00254474;0.00437592;-0.00103095;1.00322;0.0019085;-0.012843;1.00265;0.0228978;0.988154;1;3;1
675.531;1618.06;0.148475;-0.382057;-0.00120839;-0.00355492;0.00046387;-0.00112002;-0.00364329;0.996692;0.00110075;-0.0028871;1.0055;0.0194254;0.992066;1;3;1
698.531;1618.06;0.112928;-0.205425;-9.8226e-05;0.00241831;-0.00159357;0.00319049;-0.000870405;0.999245;0.0105773;-0.0117315;1.00726;0.0202121;0.991036;1;3;1
721.531;1618.06;0.142965;-0.0800793;0.00187683;-0.00329675;0.000488947;0.00192264;-0.00334255;1.00282;0.00916995;-0.00300918;1.00279;0.0223707;0.989149;1;3;1
744.531;1618.06;0.197606;0.175686;0.000385532;-0.000750854;0.00126718;0.00120607;-0.0015714;0.998854;0.0106778;-0.0162031;0.996557;0.0220777;0.987077;1;2;1
767.531;1618.06;0.158709;0.347493;-0.00101847;7.13806e-05;0.00143725;0.00106354;-0.00201063;0.999011;0.00488787;-0.00192215;0.998954;0.0222182;0.989226;1;3;1
790.531;1618.06;0.149346;0.53261;-0.000651819;0.00327747;0.00157897;0.00383334;-0.00120769;1.00046;0.0101296;-0.012271;1.00304;0.0263334;0.987293;1;3;1
813.531;1618.06;0.126142;0.833963;0.0011864;-0.00169696;0.00238787;0.00253405;-0.00304461;1.0008;0.00971715;-0.013082;1.00607;0.0197451;0.989758;1;2;1
836.531;1618.06;0.200998;1.04853;0.00109458;0.00154044;0.00137914;0.00271455;-7.95382e-05;1.00046;0.00510256;-0.00361873;1.00174;0.0241115;0.986344;1;3;1
859.531;1618.06;0.17468;1.23943;0.000167954;-0.00126023;0.00286637;0.00240784;-0.00350012;1.00375;-0.00194349;-0.0123127;0.999246;0.0292457;0.972933;1;3;1
